Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2017/2018 Hyundai Ioniq 1.6 HEV Hatchback - (A) 1THN WARRANTY BOLEH LOAN KEDAI,RM 292 / month,"RM 22,500",Hyundai Ioniq,150 - 155K KM,Automatic,"Selangor, Klang"
2023 Perodua Ativa 1.0 AV (2 Tone Special Metallic) SUV - AV WIRELESS APPLE CARPLAY 360 CAMERA REG 30 DEC,RM 749 / month,"RM 57,800",Perodua Ativa,20 - 25K KM,Automatic,"Penang, Georgetown"
2018 Honda BR-V 1.5 V SUV,RM 589 / month,"RM 45,400",Honda BR-V,85 - 90K KM,Automatic,"Johor, Masai"
2019 Proton Saga 1.3 Premium Sedan,RM 376 / month,"RM 29,000",Proton Saga,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2020 Perodua AXIA 1.0 SE Hatchback,RM 420 / month,"RM 32,400",Perodua AXIA,90 - 95K KM,Automatic,"Negeri Sembilan, Seremban"
2023 Toyota Vios 1.5 G Sedan - FREE REBATE RM688,Special offer - call now!,4 days 21 hours,Toyota Vios,30 - 35K KM,Automatic,"Pahang, Bandar Pusat Jengka"
2012 Perodua Myvi 1.5 SE Hatchback,RM 297 / month,"RM 22,900",Perodua Myvi,195 - 200K KM,Automatic,"Johor, Johor Bahru"
2022 Perodua Bezza 1.0 G Sedan,RM 421 / month,"RM 32,500",Perodua Bezza,45 - 50K KM,Automatic,"Johor, Johor Bahru"
2019 Honda CR-V 1.5 TC-P SUV - CAR KING 50K MIELAGE FULL SERVICE,"RM 1,164 / month","RM 89,800",Honda CR-V,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2023 Proton X50 1.5 Flagship SUV,RM 990 / month,"RM 76,400",Proton X50,10 - 15K KM,Automatic,"Johor, Johor Bahru"
2015 Perodua AXIA 1.0 Advance (Metallic) Hatchback - COMFORT AFFORDABLE CAR FOR SALES,RM 298 / month,"RM 23,000",Perodua AXIA,125 - 130K KM,Automatic,"Selangor, Petaling Jaya"
2016/2019 BMW M4 3.0 Coupe - ORIGINAL MILEAGE ACCIDENT FREE CAR KING,"RM 2,448 / month","RM 188,800",BMW M4,115 - 120K KM,Automatic,"Johor, Johor Bahru"
2015 Perodua Myvi 1.3 X Hatchback,RM 322 / month,"RM 24,800",Perodua Myvi,75 - 80K KM,Automatic,"Terengganu, Kuala Terengganu"
2020 Honda Jazz 1.5 V Hatchback,RM 687 / month,"RM 53,000",Honda Jazz,55 - 60K KM,Automatic,"Sabah, Inanam"
2017 Mercedes-Benz CLA200 1.6 AMG Line Coupe - 53K MILEAGE ORIGINAL TIP TOP CONDITION,"RM 1,073 / month","RM 82,800",Mercedes-Benz CLA200,50 - 55K KM,Automatic,"Johor, Johor Bahru"
2012 Volkswagen Jetta 1.4 TSI Sedan,"RM 18,993  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 18,993"" and is now 10% below market price","-10% RM 17,000",Volkswagen Jetta,211545 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2019 Nissan Serena 2.0 S-Hybrid High-Way Star MPV,RM 970 / month,"RM 74,800",Nissan Serena,95959 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2023 BMW M2 3.0 Pro Package Coupe,"RM 5,510 / month","RM 425,000",BMW M2,20 - 25K KM,Automatic,"Selangor, Petaling Jaya"
2021 Toyota Innova 2.0 X MPV,"RM 1,086 / month","RM 83,800",Toyota Innova,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2021 Toyota Innova 2.0 X MPV,"RM 1,086 / month","RM 83,800",Toyota Innova,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2018 Mercedes-Benz C200 1.5 Avantgarde Sedan,"RM 1,359 / month","RM 104,800",Mercedes-Benz C200,125 - 130K KM,Automatic,"Johor, Johor Bahru"
2015 Toyota Camry 2.5 Hybrid Sedan - TIP TOP CONDITION,RM 607 / month,"RM 46,800",Toyota Camry,115 - 120K KM,Automatic,"Johor, Johor Bahru"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV,RM 957 / month,"RM 73,800",Mazda CX-5,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2020/2022 Porsche Cayenne 3.0 Coupe - CHEAPEST IN TOWN TIP-TOP CONDITION,"RM 4,716 / month","RM 363,800",Porsche Cayenne,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2023 Proton X50 1.5 Flagship SUV - UNDER WARRANTY,RM 905 / month,"RM 69,800",Proton X50,20 - 25K KM,Automatic,"Johor, Johor Bahru"
2023 Toyota Camry 2.5 V Sedan - UNDER WARRANTY FULL SERVICE RECORD,"RM 2,072 / month","RM 159,800",Toyota Camry,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2024 Toyota Corolla Cross 1.8 Hybrid SUV - WARRANTY TIP TOP CONDITION,"RM 1,423 / month","RM 109,800",Toyota Corolla Cross,20 - 25K KM,Automatic,"Johor, Johor Bahru"
2017/2019 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV,"RM 1,333 / month","RM 102,800",Mercedes-Benz GLC250,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2020 Toyota Camry 2.5 V Sedan - FULL SERVICE RECORD,"RM 1,540 / month","RM 118,800",Toyota Camry,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2020 Toyota Camry 2.5 V Sedan,"RM 1,501 / month","RM 115,800",Toyota Camry,115 - 120K KM,Automatic,"Johor, Johor Bahru"
2019 Honda Civic 2.0 Type R Hatchback,"RM 2,720 / month","RM 209,800",Honda Civic,25 - 30K KM,Manual,"Selangor, Seri Kembangan"
2019 Toyota Yaris 1.5 E Hatchback - (A) Car King,RM 595 / month,"RM 45,888",Toyota Yaris,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2011/2012 Ferrari 458 4.5 Italia Coupe - imported new,"RM 10,760 / month","RM 830,000",Ferrari 458,10 - 15K KM,Automatic,"Selangor, Petaling Jaya"
"2022 Mercedes-Benz GLA200 1.3 Progressive Line SUV - (UNDER WARRANTY 2027 , FULL SERVICE RECORD)","RM 1,903 / month","RM 146,800",Mercedes-Benz GLA200,35 - 40K KM,Automatic,"Johor, Johor Bahru"
2022 Proton X70 1.8 Premium X SUV - 2WD (A) Car King,RM 738 / month,"RM 56,888",Proton X70,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2023 Volkswagen Golf 2.0 GTI Hatchback - DWA VW ( VW Pre-Owned ),"RM 2,190 / month","RM 168,888",Volkswagen Golf,70 - 75K KM,Automatic,"Selangor, Shah Alam"
2015 Porsche Macan 3.0 S SUV - WARRANTY UNTIL MARCH 2026 FULL SERVICE RECORD WELL KEPT CONDITION,"RM 1,802 / month","RM 138,999",Porsche Macan,105 - 110K KM,Automatic,"Selangor, Ampang"
2019/2024 Toyota Alphard 2.5 G S C Package MPV - SC 3 LED LAMP MEMORY SEAT AIRCON SEAT PILOT SEAT LOW MILEAGE,"RM 2,398 / month","RM 185,000",Toyota Alphard,45 - 50K KM,Automatic,"Selangor, Petaling Jaya"
2017 Honda City 1.5 V Sedan - FACELIFT (A) 1YRS WARRANTY,RM 550 / month,"RM 42,400",Honda City,175 - 180K KM,Automatic,"Selangor, Klang"
2015 Nissan Almera 1.5 VL Sedan - ORI15 FACELIFT LEATHER SEAT 1 OWENR 1 YR WAARANTY KEYLESS ENTRY FULL SPEC,RM 297 / month,"RM 22,888",Nissan Almera,90 - 95K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2022 Volkswagen Golf 2.0 GTI Hatchback,"RM 2,072 / month","RM 159,800",Volkswagen Golf,40 - 45K KM,Automatic,"Johor, Johor Bahru"
2015 Kia Rio 1.4 SX Hatchback - ORI FACELIFT 1 OWNER 1 YR WARRANTY KEYLESS ENTRY SUNROOF,RM 323 / month,"RM 24,888",Kia Rio,100 - 105K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2017 Proton Persona 1.6 Standard Sedan - (A) 1 YEAR WARRANTY,RM 267 / month,"RM 20,600",Proton Persona,110 - 115K KM,Automatic,"Selangor, Klang"
2017 Honda Civic 1.5 TC-P Sedan - LOW MILEAGE 93K KM ONLY ONE OWNER TIPTOP CONDITION VERY WELL MAINTAINED CLEAN INTERIOR BUY AND DRIVE ONLY.,RM 843 / month,"RM 64,999",Honda Civic,90 - 95K KM,Automatic,"Selangor, Puchong"
2018 BMW X3 2.0 xDrive30i Luxury SUV,"RM 1,125 / month","RM 86,800",BMW X3,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2021 BMW X7 3.0 xDrive40i Pure Excellence SUV - Full Services History Under Warranty Until May 2026 1 Careful Owner Nice Registration Number,"RM 3,874 / month","RM 298,800",BMW X7,40 - 45K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Mercedes-Benz A200 1.3 Progressive Line Sedan - FULL SERVICE RECORD,"RM 1,748 / month","RM 134,800",Mercedes-Benz A200,45 - 50K KM,Automatic,"Johor, Johor Bahru"
2022 Toyota Yaris 1.5 G Hatchback - (A) STILL UNDER WARRANTY,RM 770 / month,"RM 59,400",Toyota Yaris,60 - 65K KM,Automatic,"Selangor, Klang"
2016 Mercedes-Benz A250 2.0 Sport Hatchback,RM 970 / month,"RM 74,800",Mercedes-Benz A250,115 - 120K KM,Automatic,"Kuala Lumpur, Desa Petaling"
2015 Porsche Macan 3.0 S SUV - ONE OWNER FULLY LOADED SPECS MALAYSIA WARRANTY UNTIL 2026 SPORTS CHRONO 15,"RM 1,802 / month","RM 138,999",Porsche Macan,105 - 110K KM,Automatic,"Kuala Lumpur, Jln Ampang"
2015 Mercedes-Benz AMG CLA45 2.0 4MATIC Coupe - AMG ACCIDENT FREE NO FLOOD,"RM 1,281 / month","RM 98,800",Mercedes-Benz AMG CLA45,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2023 Mercedes-Benz A250 2.0 4MATIC AMG Line Sedan - (Warranty under Mercedes Benz until 2027),"RM 2,292 / month","RM 176,827",Mercedes-Benz A250,60 - 65K KM,Automatic,"Perak, Taiping"
2021 Honda Civic 1.5 TC Sedan - (Warranty under until 2026),"RM 1,100 / month","RM 84,827",Honda Civic,70 - 75K KM,Automatic,"Perak, Taiping"
2016 Honda HR-V 1.8 S SUV - ( FREE WARRANTY FREE SERVICE ),RM 542 / month,"RM 41,827",Honda HR-V,100 - 105K KM,Automatic,"Perak, Taiping"
2017 Perodua Myvi 1.5 SE Hatchback - ( FREE RVICE FREE TINTED ),RM 439 / month,"RM 33,827",Perodua Myvi,130 - 135K KM,Automatic,"Perak, Taiping"
2013 Subaru XV 2.0 SUV - ( FREE SERVICE FREE TINTED ),RM 283 / month,"RM 21,827",Subaru XV,165 - 170K KM,Automatic,"Perak, Taiping"
2019 Honda CR-V 1.5 TC-P SUV - ( FREE WARRANTY FREE TINTED ),"RM 1,152 / month","RM 88,827",Honda CR-V,55 - 60K KM,Automatic,"Perak, Taiping"
2022 Toyota Corolla Cross 1.8 V SUV - FULL SERVICE RECORD,"RM 1,138 / month","RM 87,800",Toyota Corolla Cross,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2017 BMW 320i 2.0 M Sport Sedan - M-SPORT F30 B48 Facelift LCI F Convert M3 Performance B Kit Ducktail F Exhaust Ori Akrapovic P Shift 18 Sport AndroidPlayer 57MI,RM 945 / month,"RM 72,900",BMW 320i,90 - 95K KM,Automatic,"Kuala Lumpur, Desa Petaling"
2011/2014 Toyota FJ Cruiser 4.0 SUV - 2014 High Spec A-TRAC RR DIFF 1 Owner Not Off Road Car,"RM 1,139 / month","RM 87,888",Toyota FJ Cruiser,90 - 95K KM,Automatic,"Negeri Sembilan, Nilai"
2021/2025 Daihatsu Move Canbus 0.7 G Micro car - 660 (A) LIKE NEW CAR HARGA LELONG,"RM 1,034 / month","RM 79,777",Daihatsu Move Canbus,30 - 35K KM,Automatic,"Selangor, Shah Alam"
2022 Honda CR-V 1.5 TC-P SUV,"RM 1,333 / month","RM 102,800",Honda CR-V,50 - 55K KM,Automatic,"Johor, Johor Bahru"
2017 Perodua Myvi 1.5 SE (Metallic) Hatchback - SE ICON (A) 1THN WARRANTY BOLEH LOAN KEDAI ANDROID PLAYER TIP TOP,RM 309 / month,"RM 23,800",Perodua Myvi,140 - 145K KM,Automatic,"Selangor, Klang"
2019 Nissan X-Trail 2.0 SUV - (A) FULL SERVICE RECORD WITH POWER BOOT,RM 801 / month,"RM 61,800",Nissan X-Trail,105 - 110K KM,Automatic,"Selangor, Klang"
2017 Honda CR-V 2.0 SUV - i-VTEC FACELIFT (A) Car King,RM 776 / month,"RM 59,888",Honda CR-V,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2013 Proton Persona 1.6 Elegance High Line Sedan - LEATHER SEAT (A) 1THN WARRANTY BOLEH LOAN KEDAI TIP TOP CONDITION,RM 114 / month,"RM 8,800",Proton Persona,100 - 105K KM,Automatic,"Selangor, Klang"
2018 BMW 318i 1.5 Luxury Sedan - M3 Bodykit FACELIFT (A) Car King,RM 621 / month,"RM 47,888",BMW 318i,105 - 110K KM,Automatic,"Johor, Johor Bahru"
2017 Nissan X-Trail 2.0 Impul SUV - (A) 1THN WARRANTY BOLEH LOAN KEDAI,RM 386 / month,"RM 29,800",Nissan X-Trail,95 - 100K KM,Automatic,"Selangor, Klang"
2015 Honda Civic 2.0 S Sedan - P SHIFT (A) 1THN WARRANTY BOLEH LOAN KEDAI,RM 425 / month,"RM 32,800",Honda Civic,100 - 105K KM,Automatic,"Selangor, Klang"
2014 Nissan NV200 1.6 Panel Van - (M) 1THN WARRANTY BOLEH LOAN KEDAI TIP TOP,RM 425 / month,"RM 32,800",Nissan NV200,100 - 105K KM,Manual,"Selangor, Klang"
2014 Toyota Avanza 1.5 G MPV - (A) 1THN WARRANTY BOLEH LOAN KEDAI 1 OWNER SAHAJA TIP TOP CONDITION,RM 309 / month,"RM 23,800",Toyota Avanza,100 - 105K KM,Automatic,"Selangor, Klang"
2021 Perodua Myvi 1.5 AV Hatchback - (A) UNDER WARRANTY 3 DIGIT NUMBER BOLEH LOAN KEDAI,RM 473 / month,"RM 36,500",Perodua Myvi,85 - 90K KM,Automatic,"Selangor, Klang"
2020 Proton Iriz 1.6 Premium Hatchback - (A) 1THN WARRANTY BOLEH LOAN KEDAI,RM 296 / month,"RM 22,800",Proton Iriz,65 - 70K KM,Automatic,"Selangor, Klang"
2022 Perodua AXIA 1.0 G Hatchback - (A) MILEAGE 24K KM HARGA LELONG,RM 347 / month,"RM 26,777",Perodua AXIA,15 - 20K KM,Automatic,"Kuala Lumpur, Bangsar"
2015 Honda CR-V 2.0 SUV - 4WD (A) 1THN WARRANTY BOLEH LOAN KEDAI TIP TOP CONDITION,RM 486 / month,"RM 37,500",Honda CR-V,100 - 105K KM,Automatic,"Selangor, Klang"
2017 Mazda CX-3 2.0 SKYACTIV-G GVC SUV - HIGH - FREE WARRANTY,RM 554 / month,"RM 42,770",Mazda CX-3,75 - 80K KM,Automatic,"Selangor, Balakong"
2023 Perodua Bezza 1.3 Advance Sedan - (A) UNDER WARRANTY FULL SERVICE RECORD TIP TOP CONDITION,RM 516 / month,"RM 39,800",Perodua Bezza,40 - 45K KM,Automatic,"Selangor, Klang"
2014 Mitsubishi Triton 2.5 VGT GS Dual Cab 4X4 Pickup - VGT GS D CAB 4X4WD FULL SPEC (A) 1THN WARANTY BOLEH LOAN KEDAI TIP TOP,RM 486 / month,"RM 37,500",Mitsubishi Triton,100 - 105K KM,Automatic,"Selangor, Klang"
2019 Honda HR-V 1.8 V SUV - (A) FULL SERVICE RECORD WITH LOW MILLAGE 127K,RM 779 / month,"RM 60,100",Honda HR-V,125 - 130K KM,Automatic,"Selangor, Klang"
2024 Toyota Alphard 2.5 Z 7-Seater MPV - SIDESTEP REAR MONITOR,"RM 3,734 / month","RM 288,000",Toyota Alphard,5 - 10K KM,Automatic,"Kuala Lumpur, Setapak"
2014 Mitsubishi Lancer 2.0 GTE Sedan - (A) 1THN WARRANTY BOLEH LOAN KEDAI,RM 529 / month,"RM 40,800",Mitsubishi Lancer,95 - 100K KM,Automatic,"Selangor, Klang"
2017 Honda Civic 1.5 TC Sedan - TYPE R BODYKITS 1THN WARRANTY BOLEH LOAN KEDAI,RM 775 / month,"RM 59,800",Honda Civic,85 - 90K KM,Automatic,"Selangor, Klang"
2017/2022 Lexus RX 200t 2.0 F Sport SUV,"RM 1,929 / month","RM 148,800",Lexus RX 200t,110 - 115K KM,Automatic,"Kuala Lumpur, Setapak"
2018 Mazda CX-5 2.0 SKYACTIV-G GL SUV - G HIGH SPEC - FREE 2 YEARS WARRANTY,RM 762 / month,"RM 58,770",Mazda CX-5,95 - 100K KM,Automatic,"Selangor, Balakong"
2013 Honda CR-Z 1.5 Hybrid Hatchback - S NICE NUMBER PLATE (A) 1THN WARANTY BOLEH LOAN KEDAI TIP TOP CONDITION,RM 386 / month,"RM 29,800",Honda CR-Z,100 - 105K KM,Automatic,"Selangor, Klang"
2017 Perodua AXIA 1.0 Advance Hatchback - (A) 1THN WARRANTY BOLEH LOAN KEDAI SEAT LEATHER,RM 283 / month,"RM 21,800",Perodua AXIA,100 - 105K KM,Automatic,"Selangor, Klang"
2012 Toyota Vios 1.5 E Sedan - TRD B KITS (A) 1THN WARRANTY BOLEH LOAN KEDAI 1 OWNER GERAN BESAR FULL SERVICE RECORD,RM 296 / month,"RM 22,800",Toyota Vios,100 - 105K KM,Automatic,"Selangor, Klang"
2017 Mercedes-Benz C180 1.6 AMG Sports Package Sedan - FREE 3 YEARS WARRANTY T C,RM 930 / month,"RM 71,770",Mercedes-Benz C180,85 - 90K KM,Automatic,"Selangor, Balakong"
2013 BMW 328i 2.0 M Sport Sedan - FREE 3 YEARS WARRANTY T C,RM 554 / month,"RM 42,770",BMW 328i,170 - 175K KM,Automatic,"Selangor, Balakong"
2017 Perodua AXIA 1.0 Advance Hatchback,RM 355 / month,"RM 27,400",Perodua AXIA,125 - 130K KM,Automatic,"Terengganu, Kuala Terengganu"
2021 Perodua AXIA 1.0 GXtra Hatchback,RM 428 / month,"RM 33,000",Perodua AXIA,35 - 40K KM,Automatic,"Terengganu, Kuala Terengganu"
"2019 Perodua Bezza 1.3 X Premium Sedan - , Low Mileage, One Owner, Good Handling Condition,Fast Approval Loan,Easy Document",RM 438 / month,"RM 33,800",Perodua Bezza,85 - 90K KM,Automatic,"Penang, Juru"
2023 Honda Civic 1.5 E Sedan - SUPER LOW MILEAGE MILEAGE 30K KM ONLY FULL SERVICE RECORD UNDER WARRANTY UNTIL 2028 CASH BACK LON SENANG LULUS,"RM 1,294 / month","RM 99,800",Honda Civic,30 - 35K KM,Automatic,"Selangor, Ampang"
2020 Honda City 1.5 V Sedan,RM 775 / month,"RM 59,800",Honda City,61054 KM,Automatic,"Pahang, Kuantan"
"2023 Perodua Myvi 1.5 AV Hatchback - , One Owner, Low Mileage, Free Accident, Good Handling Condition, Fast Approval Loan",RM 679 / month,"RM 52,400",Perodua Myvi,25 - 30K KM,Automatic,"Penang, Juru"
"2022 Perodua AXIA 1.0 Style Hatchback - , Low Mileage,One Owner, Free Accident, Car Good Condition,Fast Approval Loan,",RM 490 / month,"RM 37,800",Perodua AXIA,35 - 40K KM,Automatic,"Penang, Juru"
"2019 Toyota Yaris 1.5 E Hatchback - , low mileage, Free Accident,One Owner, Car Good condition,Fast Approval Loan",RM 710 / month,"RM 54,800",Toyota Yaris,85 - 90K KM,Automatic,"Penang, Juru"
2015 Perodua Myvi 1.5 SE Hatchback,RM 381 / month,"RM 29,400",Perodua Myvi,140 - 145K KM,Automatic,"Terengganu, Kuala Terengganu"
2020 Proton Iriz 1.6 Executive Hatchback,RM 375 / month,"RM 28,900",Proton Iriz,80823 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2019 BMW 530e 2.0 M Sport Sedan - FREE WARRANTY,RM 969 / month,"RM 74,770",BMW 530e,55 - 60K KM,Automatic,"Selangor, Balakong"
2010 Toyota Vios 1.5 J Sedan,RM 283 / month,"RM 21,800",Toyota Vios,237214 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2022 Perodua Ativa 1.0 H SUV,RM 704 / month,"RM 54,300",Perodua Ativa,40746 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2017 Proton Iriz 1.3 Executive Hatchback,RM 310 / month,"RM 23,900",Proton Iriz,57859 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2016 Toyota Vios 1.5 J Sedan,"RM 39,537  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 39,537"" and is now 2% below market price","-2% RM 38,900",Toyota Vios,142347 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2016 Honda City 1.5 V Sedan,RM 542 / month,"RM 41,800",Honda City,140975 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2019 Toyota Vios 1.5 G Sedan,RM 749 / month,"RM 57,800",Toyota Vios,85519 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2010 Toyota Estima 2.4 Aeras MPV - (A)7 SEATER.2 POWER DOOR,RM 646 / month,"RM 49,800",Toyota Estima,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Honda City 1.5 E Sedan,RM 459 / month,"RM 35,400",Honda City,82995 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2016 Perodua Myvi 1.5 Advance Hatchback,RM 441 / month,"RM 34,000",Perodua Myvi,91314 KM,Automatic,"Kuala Lumpur, Jinjang Kepong"
2018 McLaren 720S 4.0 Performance Coupe,"RM 12,549 / month","RM 968,000",McLaren 720S,25900 KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Perodua Myvi 1.5 AV Hatchback,RM 648 / month,"RM 50,000",Perodua Myvi,73766 KM,Automatic,"Pahang, Kuantan"
2018 Subaru XV 2.0 SUV - i - FREE 3 YEARS WARRANTY T C,RM 464 / month,"RM 35,770",Subaru XV,65 - 70K KM,Automatic,"Selangor, Balakong"
2018 Nissan X-Trail 2.0 SUV - (A) TOMEI Car King,RM 504 / month,"RM 38,888",Nissan X-Trail,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2022 Ford Ranger 2.0 XL Single Cab Pickup - FREE 3 YEARS WARRANTY,RM 827 / month,"RM 63,770",Ford Ranger,30 - 35K KM,Manual,"Selangor, Balakong"
2019 Ford Ranger 2.0 Raptor High Rider Dual Cab Pickup - FREE 3 YEARS WARRANTY,"RM 1,125 / month","RM 86,770",Ford Ranger,85 - 90K KM,Automatic,"Selangor, Balakong"
2022 Ford Ranger 2.0 XLT+ High Rider Dual Cab Pickup - XLT High Rider Dual Cab - FREE 3 YEARS WARRANTY,"RM 1,151 / month","RM 88,770",Ford Ranger,65 - 70K KM,Automatic,"Selangor, Balakong"
"2023 Mazda 3 2.0 SKYACTIV-G High Plus Sedan - FULL SERVICE UNDER WARRANTY TILL 2028, FULL SAFETY ADVANCE FEATURES, SUNROOF,","RM 1,517 / month","RM 116,999",Mazda 3,55 - 60K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Perodua Alza 1.5 Advance (Metallic) MPV - ADVANCED (A) 1 OWNER FULL SERVICE RECORD NO PROCESSING CHARGE,RM 412 / month,"RM 31,800",Perodua Alza,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2021 Proton X50 1.5 Premium SUV - FREE WARRANTY LOW MILEAGE,RM 658 / month,"RM 50,770",Proton X50,25 - 30K KM,Automatic,"Selangor, Seri Kembangan"
2019 Perodua Myvi 1.3 G Hatchback - FREE 2 YEARS WARRANTY,RM 373 / month,"RM 28,770",Perodua Myvi,80 - 85K KM,Automatic,"Selangor, Balakong"
2023 Honda City 1.5 E Hatchback - (A) FULL SERVICE RECORD WITH LOW MILLAGE 58K,RM 849 / month,"RM 65,500",Honda City,55 - 60K KM,Automatic,"Selangor, Klang"
2023 Perodua Ativa 1.0 AV (2 Tone Special Metallic) SUV - AV ADVANCE - FREE 2 YEARS WARRANTY,RM 632 / month,"RM 48,770",Perodua Ativa,35 - 40K KM,Automatic,"Selangor, Balakong"
2011/2014 BMW 523i 2.5 M Sport Sedan - Ori 1 Owner,RM 412 / month,"RM 31,777",BMW 523i,115 - 120K KM,Automatic,"Negeri Sembilan, Nilai"
2016 Toyota Camry 2.5 Hybrid Sedan - FREE WARRANTY,RM 554 / month,"RM 42,770",Toyota Camry,85 - 90K KM,Automatic,"Selangor, Balakong"
2016 Toyota Vios 1.5 E Sedan,"RM 38,961  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 38,961"" and is now 5% below market price","-5% RM 36,900",Toyota Vios,154476 KM,Automatic,"Pahang, Kuantan"
2020 Lexus UX 200 2.0 Luxury SUV,"RM 1,929 / month","RM 148,800",Lexus UX 200,60 - 65K KM,Automatic,"Negeri Sembilan, Nilai"
2017 BMW 320i 2.0 M Sport Sedan,RM 853 / month,"RM 65,800",BMW 320i,105 - 110K KM,Automatic,"Kuala Lumpur, Desa Petaling"
2019 Toyota Yaris 1.5 E Hatchback - FREE WARRANTY,RM 567 / month,"RM 43,770",Toyota Yaris,60 - 65K KM,Automatic,"Selangor, Balakong"
2015 Mazda 2 1.5 SKYACTIV-G Hatchback - Y (A) full Spec paddle s,RM 369 / month,"RM 28,500",Mazda 2,85 - 90K KM,Automatic,"Negeri Sembilan, Nilai"
2022 Toyota Yaris 1.5 E Hatchback - 360 CAMERA FREE WARRANTY,RM 684 / month,"RM 52,770",Toyota Yaris,35 - 40K KM,Automatic,"Selangor, Balakong"
2010 Honda City 1.5 S Sedan,"RM 21,778  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 21,778"" and is now 9% below market price","-9% RM 19,900",Honda City,218259 KM,Automatic,"Pahang, Kuantan"
2016 Toyota Vios 1.5 E Sedan - FREE 2 YEARS WARRANTY,RM 412 / month,"RM 31,770",Toyota Vios,130 - 135K KM,Automatic,"Selangor, Balakong"
2015 Toyota Vios 1.5 J Sedan - FREE WARRANTY,RM 360 / month,"RM 27,770",Toyota Vios,135 - 140K KM,Automatic,"Selangor, Balakong"
2012 Toyota Camry 2.0 G Sedan - FREE WARRANTY,RM 438 / month,"RM 33,770",Toyota Camry,150 - 155K KM,Automatic,"Selangor, Balakong"
2020/2024 Mercedes-Benz C200 2.0 AMG Line Coupe - Sport Obsidian Black Match with Black Leather Interior Accident Free Prestige Certified,"RM 2,252 / month","RM 173,737",Mercedes-Benz C200,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2018 Honda CR-V 1.5 TC SUV - FREE WARRANTY,RM 853 / month,"RM 65,770",Honda CR-V,80 - 85K KM,Automatic,"Selangor, Balakong"
2022 Honda Civic 1.5 V Sedan - UNDER WARRANTY,"RM 1,177 / month","RM 90,770",Honda Civic,80 - 85K KM,Automatic,"Selangor, Balakong"
2021 Honda City 1.5 V Sedan - FREE 2 YEARS WARRANTY,RM 697 / month,"RM 53,770",Honda City,45 - 50K KM,Automatic,"Selangor, Balakong"
2023 Honda Civic 1.5 RS Sedan - UNDER WARRANTY,"RM 1,280 / month","RM 98,770",Honda Civic,0 - 5K KM,Automatic,"Selangor, Balakong"
2020 Perodua AXIA 1.0 SE Hatchback,RM 425 / month,"RM 32,800",Perodua AXIA,75 - 80K KM,Automatic,"Johor, Masai"
2018 Honda Accord 2.0 VTi-L Sedan - FREE 2 YEARS WARRANTY,RM 762 / month,"RM 58,770",Honda Accord,85 - 90K KM,Automatic,"Selangor, Balakong"
2021 Nissan Navara 2.5 VL Dual Cab Pickup - NP300 (A) VL CRDI VDC 7SPD TURBO INTERCOOLER 4X4 TRUCK,RM 996 / month,"RM 76,800",Nissan Navara,80 - 85K KM,Automatic,"Selangor, Kajang"
